GBP,USD
639.02,798.77
460.3,575.38
882.69,1103.36
417.71,522.14
621.01,776.26
559.32,699.15
979.95,1224.94
618.92,773.65
878.35,1097.94
869.98,1087.47
746.13,932.66
101.29,126.61
331.39,414.24
473.79,592.24
522.7,653.38
270.98,338.73
535.28,669.1
945.13,1181.41
954.09,1192.61
36.26,45.32
504.78,630.97
546.04,682.55
321.64,402.05
277.91,347.39
317.52,396.9
461.26,576.58
823.4,1029.25
657.7,822.12
768.98,961.23
494.11,617.64
467.97,584.96
328.06,410.07
388.06,485.07
648.01,810.01
193.39,241.74
524.6,655.75
982.99,1228.74
630.77,788.46
844.08,1055.1
498.55,623.19
423.68,529.6
335.75,419.69
145.09,181.36
453.31,566.64
279.63,349.54
153.15,191.44
832.28,1040.35
418.46,523.07
571.82,714.78
562.3,702.88
991.51,1239.39
154.42,193.02
800.27,1000.34
523.83,654.79
33.36,41.7
924.76,1155.95
74.28,92.85
214.78,268.48
821.45,1026.81
492.63,615.79
528.57,660.71
469.39,586.74
532.45,665.56
618.03,772.54
575.75,719.69
112.64,140.8
313.23,391.54
307.58,384.47
453.22,566.53
636.2,795.25
628.73,785.91
506.97,633.71
164.26,205.32
386.06,482.57
942.42,1178.02
888.82,1111.03
66.2,82.75
357.8,447.25
377.19,471.49
314.08,392.6
812.67,1015.84
961.54,1201.92
519.82,649.78
908.98,1136.22
972.9,1216.12
583.92,729.9
736.5,920.62
19.64,24.55
498.39,622.99
153.2,191.5
711.9,889.88
266.2,332.75
81.54,101.93
325.45,406.81
535.42,669.27
793.25,991.56
615.33,769.16
714.62,893.27
523.6,654.5
390.78,488.47
551.31,689.14
577.84,722.3
252.08,315.1
845.83,1057.29
338.3,422.88
689.66,862.07
539.2,674.0
793.33,991.66
543.57,679.46
175.72,219.65
576.65,720.81
362.19,452.74
640.52,800.65
738.26,922.83
595.31,744.14
146.78,183.47
484.88,606.1
459.22,574.03
481.74,602.17
463.8,579.75
903.86,1129.83
159.16,198.95
233.7,292.12
650.21,812.76
494.03,617.54
562.17,702.71
570.94,713.68
232.42,290.52
690.91,863.64
538.63,673.29
323.63,404.54
185.06,231.32
968.27,1210.34
911.48,1139.35
102.84,128.55
208.67,260.84
961.21,1201.51
844.54,1055.67
860.71,1075.89
774.88,968.6
778.38,972.98
896.77,1120.96
488.98,611.23
493.02,616.27
151.08,188.85
998.77,1248.46
598.36,747.95
130.48,163.1
163.11,203.89
297.55,371.94
654.06,817.57
210.94,263.68
561.9,702.38
997.78,1247.22
913.33,1141.66
373.27,466.59
985.07,1231.34
825.02,1031.28
799.69,999.61
976.12,1220.15
272.21,340.26
731.71,914.64
708.12,885.15
278.09,347.61
281.78,352.22
941.48,1176.85
489.47,611.84
820.5,1025.62
100.75,125.94
555.47,694.34
607.27,759.09
739.8,924.75
372.47,465.59
379.37,474.21
978.65,1223.31
776.58,970.73
251.61,314.51
329.06,411.32
165.82,207.27
272.37,340.46
766.26,957.83
396.57,495.71
860.95,1076.19
685.32,856.65
414.14,517.67
197.25,246.56
521.92,652.4
191.13,238.91
901.27,1126.59
104.54,130.68
525.77,657.21
821.98,1027.47
190.11,237.64
507.19,633.99
219.32,274.15
173.05,216.31
224.8,281.0
273.99,342.49
868.06,1085.07
119.38,149.22
